fullpart_time,gender,months_work,respect,hr_wage
(1) Full-time worker,(2) Female,1,NA,NA
NA,NA,NA,NA,NA
(1) Full-time worker,(1) Male,12,(1) Strongly agree,11
(2) Part-time worker,(2) Female,10,(1) Strongly agree,12.185
(1) Full-time worker,(2) Female,8,(1) Strongly agree,21.11176470589
(1) Full-time worker,(2) Female,10,(4) Disagree,12.5
NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,10,(2) Agree,14
(1) Full-time worker,(2) Female,9,(3) Neither agree nor disagree,7.75
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,12,(1) Strongly agree,13
(1) Full-time worker,(2) Female,12,(1) Strongly agree,11
(1) Full-time worker,(2) Female,12,(3) Neither agree nor disagree,13.725
(2) Part-time worker,(2) Female,12,(3) Neither agree nor disagree,10
(1) Full-time worker,(2) Female,2,(3) Neither agree nor disagree,12.5
(1) Full-time worker,(2) Female,10,(1) Strongly agree,32.7380952381
(1) Full-time worker,(2) Female,12,(2) Agree,NA
(1) Full-time worker,(2) Female,9,(1) Strongly agree,12.01923076924
NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,12,(2) Agree,11.875
(1) Full-time worker,(2) Female,2,(3) Neither agree nor disagree,8
(1) Full-time worker,(2) Female,9,(2) Agree,21.86
(2) Part-time worker,(2) Female,4,(1) Strongly agree,8
(1) Full-time worker,(2) Female,12,(2) Agree,14.071875
(1) Full-time worker,(2) Female,12,(1) Strongly agree,13.46153846154
(1) Full-time worker,(2) Female,12,(1) Strongly agree,15
(1) Full-time worker,(2) Female,12,(2) Agree,12
(1) Full-time worker,(2) Female,12,(1) Strongly agree,12
(1) Full-time worker,(2) Female,10,(2) Agree,15.9
(1) Full-time worker,(2) Female,12,(1) Strongly agree,NA
(1) Full-time worker,(2) Female,12,(2) Agree,11
(1) Full-time worker,(2) Female,12,(2) Agree,10.91
NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,12,(4) Disagree,17
NA,NA,NA,NA,NA
(1) Full-time worker,NA,12,NA,8.12790697675
(1) Full-time worker,(2) Female,12,(1) Strongly agree,13
(1) Full-time worker,(2) Female,5,(1) Strongly agree,7.5
(1) Full-time worker,(1) Male,12,(5) Strongly disagree,15.68627450981
NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,12,(1) Strongly agree,22
(2) Part-time worker,(2) Female,10,(1) Strongly agree,NA
(1) Full-time worker,(2) Female,10,(1) Strongly agree,37.89473684211
(2) Part-time worker,(2) Female,8,(2) Agree,10
(2) Part-time worker,(2) Female,12,(1) Strongly agree,14
(1) Full-time worker,(2) Female,10,(1) Strongly agree,35.51768707483
(1) Full-time worker,(2) Female,12,(2) Agree,10
(1) Full-time worker,(2) Female,12,(2) Agree,9.5
(2) Part-time worker,(2) Female,9,(2) Agree,11.62
(1) Full-time worker,(2) Female,12,(2) Agree,15
(1) Full-time worker,(2) Female,11,(2) Agree,15
(1) Full-time worker,(2) Female,12,(2) Agree,7.3625
NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,12,(2) Agree,10
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
(2) Part-time worker,(2) Female,6,(1) Strongly agree,10.4
(2) Part-time worker,(2) Female,9,(2) Agree,18.73170731708
NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,12,(1) Strongly agree,11
(2) Part-time worker,(1) Male,10,(1) Strongly agree,107.32142857143
(1) Full-time worker,(2) Female,9,(2) Agree,38.88888888889
(1) Full-time worker,(2) Female,10,(2) Agree,17.5
(1) Full-time worker,(2) Female,12,(2) Agree,20.625
(1) Full-time worker,(2) Female,10,(1) Strongly agree,9
(1) Full-time worker,(2) Female,10,(2) Agree,19.69000000001
(1) Full-time worker,(2) Female,10,(2) Agree,21
(2) Part-time worker,(2) Female,12,(2) Agree,10.66666666667
(2) Part-time worker,(2) Female,9,(1) Strongly agree,59.375
(1) Full-time worker,(2) Female,12,(1) Strongly agree,9
(1) Full-time worker,(2) Female,12,(1) Strongly agree,8.75
(1) Full-time worker,(2) Female,12,(3) Neither agree nor disagree,12
(1) Full-time worker,(2) Female,12,(3) Neither agree nor disagree,23.56
(1) Full-time worker,(2) Female,12,(1) Strongly agree,16
(1) Full-time worker,(2) Female,5,(1) Strongly agree,5.68571428572
(2) Part-time worker,(2) Female,12,(1) Strongly agree,12.6
(2) Part-time worker,(2) Female,10,(1) Strongly agree,7
(2) Part-time worker,(2) Female,12,(1) Strongly agree,NA
NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,12,(2) Agree,12.5
NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,1,(1) Strongly agree,12
(1) Full-time worker,(2) Female,11,(4) Disagree,12.75
(1) Full-time worker,(2) Female,10,(1) Strongly agree,14
(1) Full-time worker,(2) Female,12,(1) Strongly agree,107.5
(1) Full-time worker,(2) Female,12,(2) Agree,12.85714285715
(1) Full-time worker,(2) Female,12,(3) Neither agree nor disagree,19.9
NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,9,(1) Strongly agree,10.25
(1) Full-time worker,(2) Female,10,(1) Strongly agree,20.55555555556
(1) Full-time worker,(2) Female,12,(2) Agree,10.80000000001
NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,12,(2) Agree,15
(1) Full-time worker,(2) Female,12,(1) Strongly agree,12.5
(1) Full-time worker,(2) Female,12,(1) Strongly agree,9.5
(2) Part-time worker,(2) Female,10,NA,NA
(1) Full-time worker,(2) Female,12,(2) Agree,9.1
(1) Full-time worker,(2) Female,12,(2) Agree,11
(1) Full-time worker,(2) Female,10,(2) Agree,16
(1) Full-time worker,(2) Female,12,(2) Agree,9.15
(1) Full-time worker,(2) Female,12,(2) Agree,26.84210526316
(1) Full-time worker,NA,1,(2) Agree,18
NA,NA,NA,NA,NA
(2) Part-time worker,(2) Female,10,(2) Agree,8
NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,8,(1) Strongly agree,9
(1) Full-time worker,(2) Female,9,(2) Agree,25
(1) Full-time worker,(2) Female,10,(1) Strongly agree,23.33333333334
(2) Part-time worker,(2) Female,12,(1) Strongly agree,10
(1) Full-time worker,(2) Female,12,(2) Agree,9.125
(1) Full-time worker,(2) Female,4,(2) Agree,10
(1) Full-time worker,(2) Female,12,(2) Agree,9
(2) Part-time worker,(2) Female,12,(1) Strongly agree,10.05000000001
(1) Full-time worker,(2) Female,3,(3) Neither agree nor disagree,18.75
(1) Full-time worker,(2) Female,10,(1) Strongly agree,33.33333333334
(1) Full-time worker,(2) Female,12,(2) Agree,17.307692307699998
(2) Part-time worker,(2) Female,5,(1) Strongly agree,7.25
(2) Part-time worker,(2) Female,3,(4) Disagree,7.14285714286
(1) Full-time worker,(2) Female,6,(2) Agree,9
(1) Full-time worker,(2) Female,12,(1) Strongly agree,12.5
(1) Full-time worker,(2) Female,10,(1) Strongly agree,15
(1) Full-time worker,(2) Female,9,(1) Strongly agree,8.48750000001
(1) Full-time worker,(2) Female,12,(2) Agree,10.75
(1) Full-time worker,(2) Female,12,(1) Strongly agree,18.66
(1) Full-time worker,(2) Female,10,(4) Disagree,16.66666666667
(1) Full-time worker,(2) Female,12,(2) Agree,15.5
(1) Full-time worker,(2) Female,7,(2) Agree,11
(1) Full-time worker,(2) Female,12,(2) Agree,13
(2) Part-time worker,(2) Female,1,(2) Agree,12
NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,12,(1) Strongly agree,NA
(1) Full-time worker,(2) Female,12,(1) Strongly agree,9.25
(2) Part-time worker,(2) Female,2,(2) Agree,9
NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,12,(2) Agree,20
(2) Part-time worker,(2) Female,9,(5) Strongly disagree,7.75
(1) Full-time worker,(2) Female,11,(3) Neither agree nor disagree,11.9
(1) Full-time worker,(2) Female,12,(1) Strongly agree,10.5
(2) Part-time worker,(2) Female,12,(2) Agree,14.93333333334
(1) Full-time worker,(2) Female,12,(2) Agree,11.75
NA,NA,NA,NA,NA
(2) Part-time worker,(2) Female,1,(1) Strongly agree,14
(2) Part-time worker,(2) Female,12,(2) Agree,12
(1) Full-time worker,(2) Female,12,(1) Strongly agree,7.5
(1) Full-time worker,(2) Female,12,(2) Agree,14
(1) Full-time worker,(1) Male,12,(2) Agree,9
(1) Full-time worker,(2) Female,12,(1) Strongly agree,NA
(1) Full-time worker,(2) Female,12,(2) Agree,16.11111111112
(2) Part-time worker,(2) Female,9,(2) Agree,24.60317460318
(2) Part-time worker,(2) Female,12,(1) Strongly agree,107.5
NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,10,(1) Strongly agree,9
(2) Part-time worker,(2) Female,8,(2) Agree,12.75
(1) Full-time worker,(2) Female,12,(2) Agree,15
NA,NA,NA,NA,NA
(2) Part-time worker,(2) Female,12,(1) Strongly agree,12
NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,NA,(2) Agree,NA
(2) Part-time worker,(2) Female,12,(3) Neither agree nor disagree,12.75
(2) Part-time worker,(2) Female,4,(2) Agree,10
(1) Full-time worker,(2) Female,12,(1) Strongly agree,10
(1) Full-time worker,(2) Female,12,(2) Agree,11.6
(1) Full-time worker,(2) Female,12,(3) Neither agree nor disagree,10.5
(1) Full-time worker,(2) Female,12,(2) Agree,30.79207317074
NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,7,(1) Strongly agree,7.41666666667
(1) Full-time worker,(2) Female,12,(1) Strongly agree,15
NA,(2) Female,NA,(3) Neither agree nor disagree,10
(1) Full-time worker,(2) Female,8,(3) Neither agree nor disagree,31.32716049383
(2) Part-time worker,(2) Female,12,(4) Disagree,13
(1) Full-time worker,(2) Female,12,(2) Agree,NA
(1) Full-time worker,(2) Female,12,(1) Strongly agree,18.25
(1) Full-time worker,(2) Female,12,(1) Strongly agree,25.71428571429
(1) Full-time worker,(2) Female,12,(1) Strongly agree,NA
(2) Part-time worker,(2) Female,12,(1) Strongly agree,14
(2) Part-time worker,(2) Female,8,(1) Strongly agree,11
(1) Full-time worker,(2) Female,10,(2) Agree,10
(1) Full-time worker,(2) Female,12,(1) Strongly agree,8.7537993921
(2) Part-time worker,(2) Female,12,(1) Strongly agree,8
NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,2,(1) Strongly agree,7.25
(1) Full-time worker,(2) Female,10,(1) Strongly agree,10.09615384616
(1) Full-time worker,(2) Female,12,(3) Neither agree nor disagree,18.48214285715
(1) Full-time worker,(2) Female,12,(2) Agree,11.87
(1) Full-time worker,(2) Female,10,(2) Agree,12
(1) Full-time worker,(2) Female,12,(3) Neither agree nor disagree,NA
(1) Full-time worker,(1) Male,12,(1) Strongly agree,3.09090909091
NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,12,(1) Strongly agree,NA
(1) Full-time worker,(2) Female,8,(2) Agree,10
(1) Full-time worker,(2) Female,12,(1) Strongly agree,15.28
NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,9,(1) Strongly agree,26.26262626263
(1) Full-time worker,(2) Female,10,(1) Strongly agree,20.84
(2) Part-time worker,(2) Female,12,(1) Strongly agree,8.75
NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,1,(2) Agree,10
(1) Full-time worker,(2) Female,12,(3) Neither agree nor disagree,16
(1) Full-time worker,(2) Female,9,(2) Agree,27.77777777778
(1) Full-time worker,(2) Female,12,(1) Strongly agree,9
(1) Full-time worker,(2) Female,11,(1) Strongly agree,14.44444444445
(1) Full-time worker,(2) Female,1,(3) Neither agree nor disagree,9
(1) Full-time worker,(2) Female,12,(1) Strongly agree,12
(1) Full-time worker,(2) Female,10,(1) Strongly agree,18.33333333334
(1) Full-time worker,(2) Female,12,(2) Agree,11
(1) Full-time worker,NA,9,NA,9.85
(1) Full-time worker,(2) Female,10,(2) Agree,17
(1) Full-time worker,(2) Female,12,(2) Agree,14.509
(2) Part-time worker,(2) Female,8,(1) Strongly agree,NA
(2) Part-time worker,(2) Female,10,(1) Strongly agree,27
(2) Part-time worker,(2) Female,4,(1) Strongly agree,NA
(1) Full-time worker,(2) Female,12,(1) Strongly agree,20
(1) Full-time worker,(2) Female,10,(1) Strongly agree,24.36
NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,12,(2) Agree,15.35
(1) Full-time worker,(2) Female,10,(1) Strongly agree,12.5
(1) Full-time worker,(2) Female,12,(1) Strongly agree,17.52136752137
(1) Full-time worker,(2) Female,9,(1) Strongly agree,NA
(1) Full-time worker,(1) Male,12,(1) Strongly agree,21.42857142858
(1) Full-time worker,(2) Female,12,(1) Strongly agree,NA
(1) Full-time worker,(2) Female,12,(3) Neither agree nor disagree,10
NA,NA,NA,NA,NA
(2) Part-time worker,(2) Female,12,(2) Agree,16.67000000001
(2) Part-time worker,(2) Female,10,(1) Strongly agree,16.5
(1) Full-time worker,(2) Female,12,(2) Agree,16.25
(1) Full-time worker,(2) Female,12,(1) Strongly agree,NA
(1) Full-time worker,(2) Female,8,(1) Strongly agree,10.9375
NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,12,(1) Strongly agree,10
(1) Full-time worker,(2) Female,12,(2) Agree,16.10000000001
(1) Full-time worker,(2) Female,12,(1) Strongly agree,10
(1) Full-time worker,(2) Female,12,(2) Agree,10
(1) Full-time worker,(2) Female,12,(1) Strongly agree,15.38
(1) Full-time worker,(2) Female,5,(2) Agree,12.75
(1) Full-time worker,(2) Female,12,(3) Neither agree nor disagree,14.78991596639
(1) Full-time worker,(2) Female,12,(1) Strongly agree,20
(1) Full-time worker,(2) Female,12,(1) Strongly agree,13.23529411765
(1) Full-time worker,(2) Female,12,(2) Agree,12.35294117648
(1) Full-time worker,(2) Female,12,(1) Strongly agree,10
(2) Part-time worker,(2) Female,9,(1) Strongly agree,23.80952380953
(1) Full-time worker,(2) Female,10,(4) Disagree,58.33333333334
NA,NA,NA,NA,NA
(2) Part-time worker,(2) Female,12,(4) Disagree,11
(2) Part-time worker,(2) Female,12,(2) Agree,7.75
(1) Full-time worker,(2) Female,10,(1) Strongly agree,29.47142857143
(1) Full-time worker,(2) Female,12,(3) Neither agree nor disagree,14.92
(1) Full-time worker,(2) Female,12,(2) Agree,19
(1) Full-time worker,(2) Female,10,(2) Agree,15.4
(1) Full-time worker,(2) Female,12,(3) Neither agree nor disagree,13.5
(1) Full-time worker,(2) Female,11,(2) Agree,11
(1) Full-time worker,(2) Female,9,(2) Agree,13.54166666667
(1) Full-time worker,(2) Female,9,(2) Agree,10.41666666667
(1) Full-time worker,(2) Female,12,(2) Agree,13.28
