hourly_wage,staff_role,race,education,birth_year,depression,staff_age,staff_age_new,hr_wage_new
NA,NA,NA,NA,NA,NA,NA,NA,NA
11.33,(1) Aide or assistant teacher,(1) White Only,(5) Some college credit but no degree,1992,10,27,Between 20 and 40,Between $11 and $20
11,(1) Aide or assistant teacher,(1) White Only,(3) GED or high school equivalency,1998,0,21,Between 20 and 40,Between $11 and $20
10,(1) Aide or assistant teacher,(2) Black or African American Only,(4) High school graduate,1973,1,46,Between 41 and 50,Less than $10
9,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,(4) High school graduate,1998,0,21,Between 20 and 40,Less than $10
NA,(1) Aide or assistant teacher,(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1982,NA,37,Between 20 and 40,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
15.55,(1) Aide or assistant teacher,(8) Other,(5) Some college credit but no degree,1964,14,55,More than 51,Between $11 and $20
13.07189542484,(1) Aide or assistant teacher,(1) White Only,(4) High school graduate,1961,0,58,More than 51,Between $11 and $20
NA,"(2) Teacher, instructor, or lead teacher",NA,(8) Graduate or professional degree,NA,NA,NA,NA,NA
NA,"(2) Teacher, instructor, or lead teacher",(1) White Only,(8) Graduate or professional degree,NA,0,NA,NA,NA
20,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(6) Associate degree (AA, AS)",1989,2,30,Between 20 and 40,Between $11 and $20
13,(1) Aide or assistant teacher,(2) Black or African American Only,(5) Some college credit but no degree,1973,1,46,Between 41 and 50,Between $11 and $20
11,"(2) Teacher, instructor, or lead teacher",NA,(4) High school graduate,1982,2,37,Between 20 and 40,Between $11 and $20
9.21052631579,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,(5) Some college credit but no degree,1995,0,24,Between 20 and 40,Less than $10
17.35000000001,"(2) Teacher, instructor, or lead teacher",(1) White Only,(5) Some college credit but no degree,1982,5,37,Between 20 and 40,Between $11 and $20
8,(1) Aide or assistant teacher,(1) White Only,(5) Some college credit but no degree,1998,0,21,Between 20 and 40,Less than $10
13,"(2) Teacher, instructor, or lead teacher",(1) White Only,(5) Some college credit but no degree,1992,14,27,Between 20 and 40,Between $11 and $20
12,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1996,1,23,Between 20 and 40,Between $11 and $20
9.25,(1) Aide or assistant teacher,(3) Asian Only,(8) Graduate or professional degree,1981,0,38,Between 20 and 40,Less than $10
9.25,(1) Aide or assistant teacher,(1) White Only,(5) Some college credit but no degree,1987,1,32,Between 20 and 40,Less than $10
11,(1) Aide or assistant teacher,(1) White Only,(5) Some college credit but no degree,1998,2,21,Between 20 and 40,Between $11 and $20
21.42857142858,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,"(6) Associate degree (AA, AS)",1972,3,47,Between 41 and 50,Between $21 and $30
10,(1) Aide or assistant teacher,(1) White Only,(4) High school graduate,1998,0,21,Between 20 and 40,Less than $10
13,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(6) Associate degree (AA, AS)",1996,0,23,Between 20 and 40,Between $11 and $20
9,"(2) Teacher, instructor, or lead teacher",NA,(4) High school graduate,NA,5,NA,NA,Less than $10
9.5,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,(5) Some college credit but no degree,1986,1,33,Between 20 and 40,Less than $10
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,"(6) Associate degree (AA, AS)",1981,NA,38,Between 20 and 40,NA
13,(1) Aide or assistant teacher,(2) Black or African American Only,(5) Some college credit but no degree,1963,1,56,More than 51,Between $11 and $20
10,(1) Aide or assistant teacher,(8) Other,(5) Some college credit but no degree,1989,4,30,Between 20 and 40,Less than $10
13.7,(1) Aide or assistant teacher,(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1974,0,45,Between 41 and 50,Between $11 and $20
NA,NA,NA,NA,NA,NA,NA,NA,NA
11.5,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,"(7) Bachelor's degree (BA, BS, AB)",1988,2,31,Between 20 and 40,Between $11 and $20
NA,NA,NA,NA,NA,NA,NA,NA,NA
12.5,"(2) Teacher, instructor, or lead teacher",(1) White Only,(4) High school graduate,1984,1,35,Between 20 and 40,Between $11 and $20
11.9,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,(5) Some college credit but no degree,1998,0,21,Between 20 and 40,Between $11 and $20
8.57142857143,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,(4) High school graduate,1996,0,23,Between 20 and 40,Less than $10
27,"(2) Teacher, instructor, or lead teacher",(3) Asian Only,(8) Graduate or professional degree,1968,3,51,More than 51,Between $21 and $30
25,"(2) Teacher, instructor, or lead teacher",(8) Other,(1) Less than High School,1950,5,69,More than 51,Between $21 and $30
9.5,(1) Aide or assistant teacher,(2) Black or African American Only,(4) High school graduate,1998,3,21,Between 20 and 40,Less than $10
18,"(2) Teacher, instructor, or lead teacher",NA,(8) Graduate or professional degree,NA,0,NA,NA,Between $11 and $20
107.5,"(2) Teacher, instructor, or lead teacher",(1) White Only,(8) Graduate or professional degree,1977,0,42,Between 41 and 50,More than $31
NA,NA,NA,NA,NA,NA,NA,NA,NA
21,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1974,3,45,Between 41 and 50,Between $21 and $30
14.5,"(2) Teacher, instructor, or lead teacher",NA,"(6) Associate degree (AA, AS)",1991,0,28,Between 20 and 40,Between $11 and $20
54.9575,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1966,1,53,More than 51,More than $31
30.88235294118,"(2) Teacher, instructor, or lead teacher",(1) White Only,(8) Graduate or professional degree,1970,10,49,Between 41 and 50,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
12,(1) Aide or assistant teacher,(1) White Only,(4) High school graduate,1998,1,21,Between 20 and 40,Between $11 and $20
NA,(1) Aide or assistant teacher,NA,"(7) Bachelor's degree (BA, BS, AB)",1979,1,40,Between 20 and 40,NA
48.57142857143,"(2) Teacher, instructor, or lead teacher",(1) White Only,(8) Graduate or professional degree,1979,3,40,Between 20 and 40,More than $31
12.5,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,(5) Some college credit but no degree,1998,1,21,Between 20 and 40,Between $11 and $20
